#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Feb 21 19:24:31 EST 2019,36,36,Assignment3Suite,BuildTest2+ BuildTest3+ GetMinTest1+ InsertTest2+ SizeTest1+ SizeTest2+ SizeTest4+ , ,BuildTest1- DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EfficiencyTest1- EverythingTest- GetMinTest2- GetMinTest3- InsertTest1- InsertTest3- SizeTest3- , ,
1,Thu Feb 21 20:23:03 EST 2019,52,16,Assignment3Suite,BuildTest2 BuildTest3 GetMinTest1 GetMinTest2+ InsertTest1+ InsertTest2 InsertTest3+ SizeTest1 SizeTest2 SizeTest4 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest3 , ,
2,Thu Feb 21 21:55:20 EST 2019,73,21,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest2+ DelMinTest3+ DelMinTest4+ GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3+ SizeTest4 , ,BuildTest1 DelMinTest1 EfficiencyTest1 EverythingTest GetMinTest3 , ,
3,Thu Feb 21 22:14:37 EST 2019,84,11,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1+ DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 EverythingTest , ,
4,Thu Feb 21 22:14:55 EST 2019,84,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 EverythingTest , ,
5,Thu Feb 21 22:39:53 EST 2019,84,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 EverythingTest , ,
6,Thu Feb 21 23:06:11 EST 2019,89,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 , ,
7,Thu Feb 21 23:37:08 EST 2019,63,-26,Assignment3Suite,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2- BuildTest3- EfficiencyTest1 EverythingTest- GetMinTest1- GetMinTest3- , ,
8,Thu Feb 21 23:39:49 EST 2019,94,31,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest+ GetMinTest1+ GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
9,Fri Feb 22 12:58:08 EST 2019,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
10,Sat Feb 23 14:45:23 EST 2019,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
11,Sat Feb 23 15:50:11 EST 2019,63,-31,Assignment3Suite,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- BuildTest2- BuildTest3- EfficiencyTest1 EverythingTest- GetMinTest1- GetMinTest3- , ,
